,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_CAR_TT_linear_30_10,0.0,1.0,52.4123918124171,0.0,1.0
b_CAR_TT_linear_30_11,-0.7930947920414733,0.0,0.03535514876697985,-22.432228959596085,0.0
b_CAR_TT_linear_30_12,0.0,1.0,62.659461852497095,0.0,1.0
b_CAR_TT_linear_30_13,-0.5123975877043684,0.0,0.06636060857181518,-7.721411824453867,1.1546319456101628e-14
b_CAR_TT_linear_30_14,0.0,1.0,146.95800463431308,0.0,1.0
b_CAR_TT_linear_30_15,0.0,1.0,495.8563608836829,0.0,1.0
b_CAR_TT_linear_30_16,-0.286343946080963,0.0,0.09302498909048214,-3.078140066240118,0.002082969866677331
b_CAR_TT_linear_30_17,-0.10485188937004822,0.0,276.84741403805464,-0.00037873530346805255,0.9996978129559562
b_CAR_TT_linear_30_18,0.0,1.0,49.67912933735744,0.0,1.0
b_CAR_TT_linear_30_19,0.0,1.0,22.603745145570112,0.0,1.0
b_CAR_TT_linear_30_2,-2.3802559113999595,0.0,38.764288950365724,-0.061403316708521824,0.9510380109947534
b_CAR_TT_linear_30_3,-3.456059630157514,0.0,83.33432624646804,-0.04147222142212966,0.9669194378888524
b_CAR_TT_linear_30_4,-3.0955731519057865,0.0,127.52248028192768,-0.02427472509209411,0.980633473643868
b_CAR_TT_linear_30_5,-2.586716053815828,0.0,0.07955617107719377,-32.51433570509475,0.0
b_CAR_TT_linear_30_6,-2.384367734573084,0.0,478.91792051105773,-0.004978656325970644,0.9960276233945335
b_CAR_TT_linear_30_7,-1.9683612678790097,0.0,217.5533760225906,-0.0090477164908469,0.9927810651933122
b_CAR_TT_linear_30_8,-1.747146962336657,0.0,0.09380964957444064,-18.624384274564907,0.0
b_CAR_TT_linear_30_9,-1.1137364433518842,0.0,136.2207677491218,-0.008175966570699822,0.9934765951813991
b_FIRST_constant_21_0,0.4904109698293192,0.0,0.07912717656097648,6.197756461730968,5.727367469177125e-10
