,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
asc_1,0.5006103236198439,0.0,0.654926437897287,0.7643764164218323,0.4446429586514786
asc_2,-3.1385922789538947,0.0,7.49421142703547,-0.4188022061442489,0.6753606923934468
b_AGE_1_constant_26_0,-0.645462542666211,0.0,0.2500993184757233,-2.580824876293555,0.00985645672225366
b_AGE_1_constant_38_0,-1.0187250266427321,0.0,0.3121992136409765,-3.2630608346574745,0.0011021585823984825
b_AGE_2_constant_27_0,0.7222679921252717,0.0,0.13698476639069304,5.272615424004868,1.3449319791192238e-07
b_AGE_2_constant_39_0,0.3463371957556153,0.0,0.14860339562079394,2.3306142790935835,0.01977370786832222
b_CAR_CO_linear_31_0,-0.18572342131085556,0.0,588.5314819652352,-0.0003155709201667249,0.9997482108391398
b_CAR_CO_linear_31_1,-0.24426808047158244,0.0,71.00718635250382,-0.0034400473109714924,0.9972552447756837
b_CAR_CO_linear_31_10,-0.9575300258841645,0.0,193.87856908518268,-0.004938813146818013,0.9960594132611869
b_CAR_CO_linear_31_11,-0.9978611473313703,0.0,56.50386346545605,-0.01766005165189135,0.9859100498373423
b_CAR_CO_linear_31_12,-1.031058081006911,0.0,0.0013482711069136978,-764.7260819577205,0.0
b_CAR_CO_linear_31_13,-1.1060397708144711,0.0,83.95061706777408,-0.013174885539215935,0.9894882663390603
b_CAR_CO_linear_31_14,-1.135128515264202,0.0,38.25885925942062,-0.029669690556304168,0.9763304847073213
b_CAR_CO_linear_31_15,-1.1801728537178697,0.0,36.60537763076791,-0.03224042285868673,0.9742803201426655
b_CAR_CO_linear_31_16,-1.2307666368339563,0.0,0.0019624387011051457,-627.1618247952667,0.0
b_CAR_CO_linear_31_17,-1.2752780054295263,0.0,47.328877191388315,-0.026945029781132616,0.9785035779698663
b_CAR_CO_linear_31_18,-1.3071763529549407,0.0,21.67535830512419,-0.060307023974128085,0.9519111078079772
b_CAR_CO_linear_31_19,-1.3538046609437202,0.0,11.621316858746496,-0.11649322339273563,0.9072616564828098
b_CAR_CO_linear_31_2,-0.2575273808336489,0.0,55.3140069739483,-0.004655735408120744,0.9962852740186696
b_CAR_CO_linear_31_20,-0.9854098000001104,0.0,3.297202227821569,-0.29886240876743597,0.7650450303896574
b_CAR_CO_linear_31_21,-0.5146870611529241,0.0,7.477726988570345,-0.0688293463962538,0.9451254584278164
b_CAR_CO_linear_31_22,-0.4259041686977201,0.0,9.46239240780639,-0.04501019935997929,0.9640991792811959
b_CAR_CO_linear_31_23,-0.37712352262501403,0.0,42.098382702106726,-0.008958147520620588,0.9928525279955707
b_CAR_CO_linear_31_3,-0.318905792516077,0.0,143.23200316080275,-0.0022264981671592625,0.9982235129555292
b_CAR_CO_linear_31_4,-0.449467728696739,0.0,128.2055333748301,-0.0035058372042542476,0.997202752352151
b_CAR_CO_linear_31_5,-0.6349756741278563,0.0,72.79231569136752,-0.008723114082811881,0.9930400502182317
b_CAR_CO_linear_31_6,-0.8176904563756052,0.0,263.13053736036375,-0.0031075467886715028,0.9975205403859742
b_CAR_CO_linear_31_7,-0.8575975387823953,0.0,92.92896938998423,-0.009228527384000302,0.992636804996806
b_CAR_CO_linear_31_8,-0.8983786698695522,0.0,226.8566848599932,-0.0039601154818249915,0.9968402932567488
b_CAR_CO_linear_31_9,-0.9321884379158845,0.0,43.51520537984588,-0.02142213117871733,0.982908919487758
b_CAR_TT_linear_30_0,-2.194565560082692,0.0,114.09707867494147,-0.019234195875732555,0.9846542782797283
b_CAR_TT_linear_30_1,-2.2663210241687834,0.0,70.50947486462198,-0.03214207776359297,0.9743587475288782
b_CAR_TT_linear_30_10,-2.6882476130431616,0.0,0.0003724434008635251,-7217.868827344908,0.0
b_CAR_TT_linear_30_11,-2.670126132210981,0.0,64.51619915004727,-0.04138691006891135,0.9669874481086995
b_CAR_TT_linear_30_12,-2.658272300094153,0.0,150.1757612036534,-0.017701074253183034,0.9858773236526701
b_CAR_TT_linear_30_13,-2.6192530215862933,0.0,500.0763293822907,-0.005237706461374953,0.9958209339882429
b_CAR_TT_linear_30_14,-2.5823218429805386,0.0,0.001338688597711219,-1928.9936788851287,0.0
b_CAR_TT_linear_30_15,-2.5591109497311475,0.0,279.8412888966281,-0.0091448655050916,0.9927035547015521
b_CAR_TT_linear_30_16,-2.521483223245093,0.0,0.0008940267877172568,-2820.366523561632,0.0
b_CAR_TT_linear_30_17,-2.4850723010099514,0.0,50.86334900448169,-0.04885781903175478,0.9610326042270692
b_CAR_TT_linear_30_18,-2.4697531967702533,0.0,572.3123476351865,-0.004315393870104944,0.9965568245440903
b_CAR_TT_linear_30_19,-2.4018441878044707,0.0,99.7511455571559,-0.024078361951525164,0.9807901029797625
b_CAR_TT_linear_30_2,-2.5861872232552177,0.0,13.387337703994469,-0.1931815929677758,0.8468167538906719
b_CAR_TT_linear_30_20,-2.3943124837868277,0.0,0.0010789057719120733,-2219.204444094822,0.0
b_CAR_TT_linear_30_21,-2.328452288469134,0.0,0.00041114364734962924,-5663.354653486983,0.0
b_CAR_TT_linear_30_22,-2.252112186439661,0.0,69.74806217513024,-0.03228924383282274,0.9742413869115638
b_CAR_TT_linear_30_23,-2.1898945761553694,0.0,344.80960763747726,-0.006351025399668563,0.9949326489540702
b_CAR_TT_linear_30_24,-2.075338034632855,0.0,110.30324923424293,-0.01881484044251146,0.984988814957642
b_CAR_TT_linear_30_25,-2.0090369271807154,0.0,59.79348058549525,-0.03359959827573692,0.9731964426182342
