,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
asc_1,0.48683235447489515,0.0,0.34639555444683134,1.405423216970354,0.1598954668919521
asc_2,-2.6589139454965176,0.0,2.6953318784893807,-0.986488516207038,0.32389344778313434
b_AGE_1_constant_20_0,-0.7569579849580735,0.0,0.20833736742583117,-3.6333279733293797,0.0002797890092951505
b_AGE_1_constant_30_0,-0.9646178582085895,0.0,0.26519786780320104,-3.6373514847578505,0.0002754559245337074
b_AGE_2_constant_21_0,0.6733586275338248,0.0,0.1336179355858788,5.039432951731576,4.6691316346603173e-07
b_AGE_2_constant_31_0,0.4208346734058855,0.0,0.13876020724258928,3.032819579680765,0.0024228040645264404
b_CAR_CO_linear_23_0,-0.613403522234042,0.0,232.2577713659699,-0.002641046276412851,0.9978927524014041
b_CAR_CO_linear_23_1,0.0,1.0,80.63545935274044,0.0,1.0
b_CAR_CO_linear_23_10,-2.394788778746131,0.0,52.19706598216977,-0.045879758443974177,0.9634060876072776
b_CAR_CO_linear_23_11,-3.152186992936818,0.0,73.78639278674251,-0.042720437656401926,0.9659243875470716
b_CAR_CO_linear_23_12,-2.8789738419859017,0.0,63.23648043140437,-0.04552710432878791,0.9636871711621042
b_CAR_CO_linear_23_13,-0.8195163115557199,0.0,46.010437609715794,-0.01781153047287398,0.9857892062325804
b_CAR_CO_linear_23_14,-1.8645789749218162,0.0,177.0703274911774,-0.010530160537567874,0.9915983027539457
b_CAR_CO_linear_23_15,-2.084621354651551,0.0,110.33918309101583,-0.01889284745684589,0.9849265854265548
b_CAR_CO_linear_23_16,-2.0879546836020086,0.0,96.11267917318924,-0.021724029561590315,0.9826680954760496
b_CAR_CO_linear_23_17,-3.155293113538633,0.0,33.80394857063722,-0.093340963022272,0.9256326903285126
b_CAR_CO_linear_23_18,-2.8562464299463386,0.0,133.0334174917001,-0.021470142493517003,0.9828706208094375
b_CAR_CO_linear_23_19,-2.043283906990142,0.0,47.31255475076508,-0.04318692824248939,0.9655525251189216
b_CAR_CO_linear_23_2,0.0,1.0,118.69114572752217,0.0,1.0
b_CAR_CO_linear_23_20,-2.4627654176495533,0.0,88.6251200301514,-0.02778857074395712,0.977830781668964
b_CAR_CO_linear_23_21,-2.1965556460707303,0.0,177.2246140574828,-0.01239419060243109,0.9901111198569577
b_CAR_CO_linear_23_22,-2.525701429884647,0.0,195.69845008942553,-0.0129060880591058,0.9897027174628346
b_CAR_CO_linear_23_23,-2.603017259486449,0.0,54.08007415279829,-0.04813264959903462,0.9616105257346828
b_CAR_CO_linear_23_24,-3.060248337582477,0.0,3.8237069732055606,-0.8003354752409161,0.42351645456355014
b_CAR_CO_linear_23_25,-3.3475659713856465,0.0,24.062833501358334,-0.13911769664186383,0.8893571443090915
b_CAR_CO_linear_23_26,-1.042047027431433,0.0,26.540225529617043,-0.03926293038725617,0.9686807610788581
b_CAR_CO_linear_23_27,0.0,1.0,4.464915767696511,0.0,1.0
b_CAR_CO_linear_23_28,-1.5594722500620535,0.0,2.7028040064703642,-0.5769831058148363,0.563950868127818
b_CAR_CO_linear_23_29,-2.87242292709017,0.0,24.555735142737433,-0.11697564379129222,0.9068793543942306
b_CAR_CO_linear_23_3,0.0,1.0,53.27717742206982,0.0,1.0
b_CAR_CO_linear_23_30,-3.8299598424635377,0.0,3.6512291656227367,-1.0489508241563132,0.29420075203833873
b_CAR_CO_linear_23_31,-3.24732243934004,0.0,5.42445368541699,-0.5986450668885029,0.5494095964681989
b_CAR_CO_linear_23_4,0.0,1.0,98.62972921043037,0.0,1.0
b_CAR_CO_linear_23_5,0.0,1.0,33.0073002270087,0.0,1.0
b_CAR_CO_linear_23_6,-0.7754707510044876,0.0,65.18667852112762,-0.011896153763274657,0.9905084664510988
b_CAR_CO_linear_23_7,-0.6659131818239064,0.0,167.09809964462923,-0.00398516310622393,0.9968203083016571
b_CAR_CO_linear_23_8,0.0,1.0,35.930264994037586,0.0,1.0
b_CAR_CO_linear_23_9,-1.146306277030825,0.0,168.30968075218198,-0.00681069723326633,0.9945658918400315
b_CAR_TT_linear_22_0,-2.521716816399885,0.0,69.8436446285075,-0.03610517220017205,0.9711984981991542
b_CAR_TT_linear_22_1,-1.6572549262640648,0.0,50.081657408382554,-0.033091055927926966,0.9736019751809888
b_CAR_TT_linear_22_10,-19.39874084439885,0.0,126.06949672723535,-0.15387339005858072,0.8777095658533369
b_CAR_TT_linear_22_11,-17.964376146781206,0.0,103.51792238970168,-0.17353880112810652,0.8622279316385217
b_CAR_TT_linear_22_12,-17.59802322528618,0.0,60.55254361845183,-0.29062401302533614,0.7713388926766498
b_CAR_TT_linear_22_13,-18.183012819047168,0.0,256.54863195510296,-0.07087550099362552,0.9434968417042524
b_CAR_TT_linear_22_14,-18.84546303239506,0.0,106.38688152809557,-0.1771408538506525,0.8593977525849281
b_CAR_TT_linear_22_15,-18.610690097114855,0.0,165.92172795150586,-0.11216547902969178,0.9106922001454703
b_CAR_TT_linear_22_16,-17.113274050134923,0.0,216.41160761069858,-0.07907743137752518,0.9369710344405964
b_CAR_TT_linear_22_17,-17.49181738986632,0.0,59.387171398345885,-0.2945386516649877,0.7683463327939746
b_CAR_TT_linear_22_18,-16.212474226452105,0.0,105.83302048856545,-0.15318918567767567,0.8782490855944975
b_CAR_TT_linear_22_19,-15.130572380455703,0.0,92.15607351447358,-0.16418421275380587,0.8695861288528639
b_CAR_TT_linear_22_2,-0.1680590469190929,0.0,16.678242158292697,-0.010076544357855554,0.9919602168864217
